Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team
Team,82.0,19830,3601,7396,0.487,1351,3482,0.388,2250,3914,0.575,1334,1654,0.807,876,2923,3799,2207,557,538,979,1326,9887,BOS
Team/G,,241.8,43.9,90.2,0.487,16.5,42.5,0.388,27.4,47.7,0.575,16.3,20.2,0.807,10.7,35.6,46.3,26.9,6.8,6.6,11.9,16.2,120.6,BOS
Lg Rank,,7,4,8,8.0,1,1,2.0,27,30,2.0,19,26,7.0,14,1,2,14,27,1,1,2,2,BOS
Year/Year,,-0.8%,4.1%,1.6%,0.011,2.7%,-0.3%,0.011,4.9%,3.4%,0.008,-7.1%,-6.5%,-0.005,10.1%,0.1%,2.2%,1.0%,6.9%,25.1%,-10.6%,-14.0%,2.2%,BOS
Opponent,82.0,19830,3403,7515,0.453,1059,3008,0.352,2344,4507,0.52,1092,1422,0.768,907,2645,3552,2042,510,304,986,1416,8957,BOS
Opponent/G,,241.8,41.5,91.6,0.453,12.9,36.7,0.352,28.6,55.0,0.52,13.3,17.3,0.768,11.1,32.3,43.3,24.9,6.2,3.7,12.0,17.3,109.2,BOS
Lg Rank,,7,13,26,2.0,15,23,4.0,13,23,2.0,1,1,3.0,26,10,14,5,2,1,29,30,5,BOS
Year/Year,,-0.8%,-0.6%,1.6%,-0.01,11.0%,8.9%,0.007,-5.1%,-2.7%,-0.013,-18.0%,-17.9%,-0.001,13.5%,-5.9%,-1.6%,7.8%,-6.3%,-4.4%,-5.2%,-9.7%,-2.0%,BOS
Team,82.0,19805,3334,7307,0.456,1089,3010,0.362,2245,4297,0.522,1293,1711,0.756,938,2675,3613,2102,556,424,1076,1516,9050,BRK
Team/G,,241.5,40.7,89.1,0.456,13.3,36.7,0.362,27.4,52.4,0.522,15.8,20.9,0.756,11.4,32.6,44.1,25.6,6.8,5.2,13.1,18.5,110.4,BRK
Lg Rank,,10,25,16,28.0,9,9,19.0,28,22,28.0,23,20,28.0,7,20,11,20,28,12,12,13,25,BRK
Year/Year,,0.4%,-1.9%,4.7%,-0.031,3.9%,8.6%,-0.016,-4.5%,2.1%,-0.036,-10.8%,-5.5%,-0.044,39.2%,1.0%,8.8%,0.4%,-5.0%,-16.2%,-4.5%,-12.4%,-2.6%,BRK
Opponent,82.0,19805,3410,7255,0.47,1066,2865,0.372,2344,4390,0.534,1401,1736,0.807,843,2788,3631,2088,563,409,1035,1496,9287,BRK
Opponent/G,,241.5,41.6,88.5,0.47,13.0,34.9,0.372,28.6,53.5,0.534,17.1,21.2,0.807,10.3,34.0,44.3,25.5,6.9,5.0,12.6,18.2,113.3,BRK
Lg Rank,,10,14,15,13.0,17,13,22.0,13,15,7.0,16,12,30.0,9,24,21,7,8,16,25,21,15,BRK
Year/Year,,0.4%,1.5%,-0.0%,0.007,10.1%,8.5%,0.005,-2.0%,-4.9%,0.016,-8.8%,-13.3%,0.04,-10.6%,1.1%,-1.9%,9.0%,-2.1%,29.0%,-8.1%,-1.4%,0.7%,BRK
Team,82.0,19730,3385,7272,0.465,1083,2936,0.369,2302,4336,0.531,1396,1789,0.78,1039,2665,3704,1998,612,336,1085,1447,9249,NYK
Team/G,,240.6,41.3,88.7,0.465,13.2,35.8,0.369,28.1,52.9,0.531,17.0,21.8,0.78,12.7,32.5,45.2,24.4,7.5,4.1,13.2,17.6,112.8,NYK
Lg Rank,,23,22,18,20.0,10,13,14.0,24,20,22.0,16,14,16.0,1,21,5,29,17,29,15,6,19,NYK
Year/Year,,-1.1%,-1.7%,-0.8%,-0.004,4.4%,0.2%,0.015,-4.4%,-1.4%,-0.016,-12.1%,-14.3%,0.019,0.8%,-4.5%,-3.1%,6.3%,16.1%,-1.2%,1.9%,-13.1%,-2.8%,NYK
Opponent,82.0,19730,3304,7026,0.47,1028,2813,0.365,2276,4213,0.54,1237,1620,0.764,839,2492,3331,2098,552,431,1082,1565,8873,NYK
Opponent/G,,240.6,40.3,85.7,0.47,12.5,34.3,0.365,27.8,51.4,0.54,15.1,19.8,0.764,10.2,30.4,40.6,25.6,6.7,5.3,13.2,19.1,108.2,NYK
Lg Rank,,23,4,2,15.0,10,12,17.0,6,4,13.0,4,4,1.0,8,2,2,8,6,20,21,10,2,NYK
Year/Year,,-1.1%,-1.2%,-2.8%,0.008,-3.7%,-6.0%,0.008,0.0%,-0.6%,0.003,-18.6%,-16.6%,-0.019,1.1%,-4.8%,-3.4%,1.7%,11.3%,16.5%,3.6%,-7.6%,-4.3%,NYK
Team,82.0,19780,3404,7331,0.464,992,2733,0.363,2412,4598,0.525,1597,1934,0.826,906,2616,3522,2041,694,492,984,1668,9397,PHI
Team/G,,241.2,41.5,89.4,0.464,12.1,33.3,0.363,29.4,56.1,0.525,19.5,23.6,0.826,11.0,31.9,43.0,24.9,8.5,6.0,12.0,20.3,114.6,PHI
Lg Rank,,17,21,14,23.0,22,19,18.0,13,8,27.0,1,4,2.0,9,23,20,24,1,6,2,27,15,PHI
Year/Year,,-0.5%,1.7%,6.7%,-0.023,-4.2%,2.2%,-0.024,4.3%,9.6%,-0.027,-7.1%,-6.0%,-0.01,26.7%,-0.9%,4.9%,-1.1%,9.3%,26.5%,-12.2%,-0.4%,-0.5%,PHI
Opponent,82.0,19780,3322,7098,0.468,979,2765,0.354,2343,4333,0.541,1524,1926,0.791,903,2742,3645,2143,506,503,1201,1519,9147,PHI
Opponent/G,,241.2,40.5,86.6,0.468,11.9,33.7,0.354,28.6,52.8,0.541,18.6,23.5,0.791,11.0,33.4,44.5,26.1,6.2,6.1,14.6,18.5,111.5,PHI
Lg Rank,,17,6,4,11.0,6,7,6.0,12,10,15.0,25,25,22.0,25,18,22,10,1,27,4,17,9,PHI
Year/Year,,-0.5%,0.3%,1.3%,-0.005,2.8%,1.1%,0.006,-0.7%,1.5%,-0.012,0.4%,-0.9%,0.01,15.5%,5.7%,8.0%,7.9%,-6.3%,32.4%,2.6%,-5.5%,0.6%,PHI
Team,82.0,19805,3466,7356,0.471,942,2712,0.347,2524,4644,0.543,1339,1772,0.756,891,2607,3498,2335,634,388,1147,1509,9213,TOR
Team/G,,241.5,42.3,89.7,0.471,11.5,33.1,0.347,30.8,56.6,0.543,16.3,21.6,0.756,10.9,31.8,42.7,28.5,7.7,4.7,14.0,18.4,112.4,TOR
Lg Rank,,10,15,10,16.0,26,22,27.0,5,4,18.0,18,16,29.0,11,26,23,6,10,19,20,12,21,TOR
Year/Year,,0.0%,0.9%,-1.8%,0.013,7.0%,3.3%,0.012,-1.2%,-4.5%,0.018,-11.1%,-7.8%,-0.028,-14.6%,4.9%,-0.9%,19.1%,-17.9%,-8.5%,20.0%,-8.0%,-0.4%,TOR
Opponent,82.0,19805,3669,7476,0.491,1120,2979,0.376,2549,4497,0.567,1283,1627,0.789,919,2785,3704,2346,595,474,1137,1487,9741,TOR
Opponent/G,,241.5,44.7,91.2,0.491,13.7,36.3,0.376,31.1,54.8,0.567,15.6,19.8,0.789,11.2,34.0,45.2,28.6,7.3,5.8,13.9,18.1,118.8,TOR
Lg Rank,,10,28,24,26.0,26,21,24.0,26,22,26.0,5,5,19.0,28,23,26,27,13,23,13,22,25,TOR
Year/Year,,0.0%,10.8%,10.7%,0.0,11.9%,11.3%,0.002,10.3%,10.3%,-0.0,-14.9%,-14.1%,-0.008,21.4%,2.8%,6.9%,9.2%,20.9%,26.1%,-16.8%,-7.3%,6.7%,TOR
